D,N,obama,romney,sentence_length,sentiment
1,5,0,1,64,pro_romney
0,1,1,0,53,pro_romney
3,1,0,1,130,pro_obama
0,0,0,1,64,pro_obama
0,3,0,1,54,pro_romney
0,2,0,1,96,pro_romney
0,3,1,1,118,pro_obama
0,0,0,1,55,pro_obama
2,3,1,0,134,pro_romney
2,3,1,0,90,pro_romney
2,5,1,1,128,pro_obama
2,5,1,0,107,pro_romney
2,1,0,1,113,pro_obama
3,6,0,1,129,pro_obama
0,0,1,1,46,pro_obama
3,7,1,0,130,pro_romney
2,3,0,1,113,pro_obama
2,6,0,1,129,pro_romney
3,3,0,1,94,pro_obama
0,3,1,0,108,pro_romney
2,2,0,1,114,pro_obama
1,3,1,0,97,pro_romney
0,2,1,1,47,pro_obama
2,4,0,0,91,pro_obama
1,2,0,0,101,pro_romney
1,4,0,0,132,pro_romney
0,2,1,1,70,pro_romney
3,5,1,0,109,pro_romney
0,1,0,1,46,pro_romney
1,6,1,0,126,pro_obama
0,5,0,1,100,pro_obama
0,4,1,0,115,pro_obama
0,1,1,0,62,pro_obama
0,0,1,0,71,pro_romney
2,5,1,0,131,pro_romney
0,4,1,0,99,pro_obama
0,1,1,0,52,pro_obama
2,5,0,0,130,pro_obama
0,3,1,0,89,pro_obama
0,2,1,0,83,pro_obama
1,2,0,1,66,pro_romney
0,2,0,1,47,pro_romney
1,4,0,1,70,pro_obama
0,0,1,0,66,pro_obama
2,2,0,1,130,pro_obama
0,0,0,1,52,pro_obama
1,4,1,0,80,pro_romney
1,2,0,1,91,pro_romney
0,5,1,0,96,pro_romney
1,3,1,0,131,pro_romney
3,1,0,1,108,pro_romney
3,4,0,1,133,pro_obama
2,3,0,1,58,pro_obama
0,2,0,1,94,pro_romney
4,5,0,1,100,pro_obama
1,3,0,1,131,pro_obama
3,2,1,0,129,pro_romney
1,4,1,1,122,pro_romney
2,3,0,1,102,pro_romney
1,3,1,0,61,pro_obama
2,1,1,1,46,pro_obama
0,1,1,1,45,pro_romney
3,4,1,0,128,pro_romney
3,4,1,0,119,pro_romney
3,5,1,0,131,pro_romney
1,2,1,0,118,pro_obama
3,3,0,1,135,pro_obama
2,2,1,0,121,pro_romney
0,1,0,1,37,pro_obama
0,1,1,0,94,pro_romney
1,3,0,1,130,pro_obama
4,5,0,1,119,pro_romney
2,2,1,1,108,pro_romney
0,0,1,0,86,pro_romney
2,3,1,0,119,pro_obama
0,0,0,1,88,pro_romney
3,5,1,0,129,pro_obama
0,3,0,1,68,pro_romney
0,7,1,0,76,pro_obama
0,3,1,0,119,pro_obama
2,4,1,0,87,pro_romney
2,5,1,0,127,pro_obama
1,2,1,0,129,pro_romney
0,5,1,0,118,pro_romney
0,0,1,1,60,pro_obama
2,3,0,1,67,pro_obama
0,7,1,0,98,pro_romney
0,1,0,1,57,pro_romney
1,2,1,0,68,pro_obama
0,0,1,0,41,pro_romney
0,1,1,0,41,pro_obama
1,1,0,1,55,pro_obama
3,2,1,0,128,pro_romney
0,0,1,0,24,pro_obama
0,3,0,1,63,pro_obama
1,3,0,0,95,pro_romney
1,5,1,0,94,pro_obama
0,0,1,0,27,pro_obama
0,4,0,1,128,pro_obama
0,2,0,0,98,pro_romney
3,5,0,1,133,pro_obama
0,0,0,1,58,pro_romney
2,3,1,0,130,pro_romney
0,2,1,0,79,pro_romney
2,1,1,1,85,pro_obama
1,2,0,1,45,pro_romney
2,7,1,0,126,pro_obama
0,0,0,1,40,pro_obama
1,3,1,0,89,pro_obama
1,0,0,1,59,pro_romney
0,1,1,0,133,pro_obama
0,2,1,0,126,pro_obama
1,1,1,0,48,pro_obama
2,3,1,0,102,pro_romney
1,4,1,0,100,pro_romney
2,2,1,1,124,pro_obama
0,0,0,1,45,pro_obama
2,3,0,1,126,pro_obama
1,1,1,0,50,pro_obama
2,2,1,1,126,pro_obama
0,0,1,0,48,pro_obama
0,2,0,1,54,pro_obama
0,2,1,0,77,pro_obama
2,2,0,1,109,pro_obama
0,0,1,0,35,pro_obama
0,3,1,0,83,pro_romney
3,3,1,0,74,pro_romney
2,4,0,0,126,pro_obama
1,1,1,0,104,pro_romney
1,3,1,0,45,pro_obama
2,2,1,1,103,pro_obama
2,4,0,1,124,pro_obama
2,3,1,0,85,pro_romney
0,0,1,0,32,pro_romney
0,3,1,0,56,pro_obama
0,4,1,0,103,pro_obama
0,0,1,0,10,pro_obama
0,0,1,0,19,pro_obama
1,1,1,0,14,pro_obama
0,0,1,0,59,pro_obama
3,3,0,0,54,pro_obama
4,3,1,1,126,pro_obama
2,5,1,0,132,pro_obama
2,3,0,1,128,pro_obama
0,1,1,0,35,pro_obama
0,1,1,0,41,pro_romney
2,2,1,0,120,pro_romney
2,4,0,0,127,pro_romney
1,4,0,1,127,pro_romney
0,2,1,0,129,pro_obama
1,3,1,0,119,pro_romney
0,5,1,0,121,pro_obama
2,5,0,0,130,pro_obama
2,5,1,0,124,pro_obama
1,2,1,0,63,pro_obama
1,5,1,0,131,pro_romney
0,3,1,1,92,pro_obama
1,3,0,1,65,pro_obama
0,4,1,0,125,pro_romney
