% Twitter Data
@RELATION tweets

@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE mention_romney NUMERIC
@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE mention_obama NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
pro_romney,2,0,0,93,0,1,0,2,2,1,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,1,0,131,0,1,1,6,2,2,3,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
pro_obama,0,0,0,58,0,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,2,1,3,111,0,1,0,2,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,1,0,71,0,0,0,2,0,1,2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,3,0,0,116,0,0,0,3,0,2,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pro_obama,1,0,0,93,0,1,0,3,2,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
pro_obama,1,1,1,132,0,0,1,5,2,2,5,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
pro_obama,0,1,2,104,0,0,2,4,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,1,0,35,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,1,98,0,1,0,2,1,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,4,0,1,131,0,1,0,5,1,5,3,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
pro_romney,0,0,0,62,0,0,0,0,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,1,1,1,86,0,0,2,3,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,0,0,24,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,0,128,0,1,0,6,0,0,6,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
pro_obama,0,1,0,86,0,1,2,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,1,1,74,0,0,2,2,2,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pro_obama,1,0,1,97,0,0,0,0,2,3,3,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
pro_obama,0,1,0,123,0,0,1,4,2,2,6,1,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0
pro_romney,1,0,0,130,0,1,1,5,0,2,5,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
pro_obama,0,1,0,60,0,1,0,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,1,1,128,0,0,2,5,2,1,3,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
pro_obama,2,0,1,130,0,1,1,4,2,0,5,0,3,0,0,0,0,4,0,0,1,1,0,2,1,0,0,0,0,0
